id,N,m,nwseed,K,r,D,ξ
er256-1,256,4,1,1.0,0.05,0.005,0.5
er256-2,256,4,2,1.0,0.05,0.005,0.5
er256-3,256,4,3,1.0,0.05,0.005,0.5
er256-4,256,16,1,1.0,0.05,0.005,0.5
er256-5,256,16,2,1.0,0.05,0.005,0.5
er256-6,256,16,3,1.0,0.05,0.005,0.5
