id,N,m,γ,nwseed,K,r,D,ξ
ssf512-1,512,3,2.0,1,1.0,0.05,0.005,0.5
ssf512-2,512,3,2.0,2,1.0,0.05,0.005,0.5
ssf512-3,512,3,2.0,3,1.0,0.05,0.005,0.5
ssf512-4,512,3,2.4,1,1.0,0.05,0.005,0.5
ssf512-5,512,3,2.4,2,1.0,0.05,0.005,0.5
ssf512-6,512,3,2.4,3,1.0,0.05,0.005,0.5
ssf512-7,512,3,3.4,1,1.0,0.05,0.005,0.5
ssf512-8,512,3,3.4,2,1.0,0.05,0.005,0.5
ssf512-9,512,3,3.4,3,1.0,0.05,0.005,0.5
ssf512-10,512,6,2.0,1,1.0,0.05,0.005,0.5
ssf512-11,512,6,2.0,2,1.0,0.05,0.005,0.5
ssf512-12,512,6,2.0,3,1.0,0.05,0.005,0.5
ssf512-13,512,6,2.4,1,1.0,0.05,0.005,0.5
ssf512-14,512,6,2.4,2,1.0,0.05,0.005,0.5
ssf512-15,512,6,2.4,3,1.0,0.05,0.005,0.5
ssf512-16,512,6,3.4,1,1.0,0.05,0.005,0.5
ssf512-17,512,6,3.4,2,1.0,0.05,0.005,0.5
ssf512-18,512,6,3.4,3,1.0,0.05,0.005,0.5
