id,N,k,nwseed,K,r,D,ξ
rrg512-1,512,4,1,10.0,0.05,0.005,0.5
rrg512-2,512,4,2,10.0,0.05,0.005,0.5
rrg512-3,512,4,3,10.0,0.05,0.005,0.5
rrg512-4,512,32,1,10.0,0.05,0.005,0.5
rrg512-5,512,32,2,10.0,0.05,0.005,0.5
rrg512-6,512,32,3,10.0,0.05,0.005,0.5
