id,N,n2,K,r,D,ξ
cbg512-1,512,1,10.0,0.05,0.005,0.5
cbg512-2,512,2,10.0,0.05,0.005,0.5
cbg512-3,512,4,10.0,0.05,0.005,0.5
cbg512-4,512,9,10.0,0.05,0.005,0.5
cbg512-5,512,20,10.0,0.05,0.005,0.5
cbg512-6,512,40,10.0,0.05,0.005,0.5
cbg512-7,512,80,10.0,0.05,0.005,0.5
cbg512-8,512,160,10.0,0.05,0.005,0.5
