id,N,n2,K,r,D,ξ
cbg256-1,256,1,0.1,0.05,0.005,0.5
cbg256-2,256,2,0.1,0.05,0.005,0.5
cbg256-3,256,4,0.1,0.05,0.005,0.5
cbg256-4,256,9,0.1,0.05,0.005,0.5
cbg256-5,256,20,0.1,0.05,0.005,0.5
cbg256-6,256,40,0.1,0.05,0.005,0.5
cbg256-7,256,80,0.1,0.05,0.005,0.5
